,codes,name,links,coord,label,timezone,id,lat,lon,administrative_regions
20,"[{'type': 'source', 'value': '87447284'}, {'type': 'uic', 'value': '87447284'}]",Valognes,[],"{'lat': '49.505454', 'lon': '-1.47986'}",Valognes (Valognes),Europe/Paris,stop_area:SNCF:87447284,49.505454,-1.47986,"[{'insee': '50615', 'name': 'Valognes', 'level': 8, 'coord': {'lat': '49.5089547', 'lon': '-1.4708174'}, 'label': 'Valognes (50700)', 'id': 'admin:fr:50615', 'zip_code': '50700'}]"
21,"[{'type': 'source', 'value': '87240085'}, {'type': 'uic', 'value': '87240085'}]",Valréas,[],"{'lat': '44.387429', 'lon': '4.991293'}",Valréas (Valréas),Europe/Paris,stop_area:SNCF:87240085,44.387429,4.991293,"[{'insee': '84138', 'name': 'Valréas', 'level': 8, 'coord': {'lat': '44.3851455', 'lon': '4.9906089'}, 'label': 'Valréas (84600)', 'id': 'admin:fr:84138', 'zip_code': '84600'}]"
22,"[{'type': 'source', 'value': '87192476'}, {'type': 'uic', 'value': '87192476'}]",Vandières,[],"{'lat': '48.951493', 'lon': '6.037921'}",Vandières (Vandières),Europe/Paris,stop_area:SNCF:87192476,48.951493,6.037921,"[{'insee': '54546', 'name': 'Vandières', 'level': 8, 'coord': {'lat': '48.9546746', 'lon': '6.0370361'}, 'label': 'Vandières (54121)', 'id': 'admin:fr:54546', 'zip_code': '54121'}]"
23,"[{'type': 'source', 'value': '87476606'}, {'type': 'uic', 'value': '87476606'}]",Vannes,[],"{'lat': '47.665169', 'lon': '-2.75245'}",Vannes (Vannes),Europe/Paris,stop_area:SNCF:87476606,47.665169,-2.75245,"[{'insee': '56260', 'name': 'Vannes', 'level': 8, 'coord': {'lat': '47.6586772', 'lon': '-2.7599079'}, 'label': 'Vannes (56000)', 'id': 'admin:fr:56260', 'zip_code': '56000'}]"
24,"[{'type': 'source', 'value': '87391532'}, {'type': 'uic', 'value': '87391532'}]",Vanves - Malakoff,[],"{'lat': '48.818262', 'lon': '2.291403'}",Vanves - Malakoff (Vanves),Europe/Paris,stop_area:SNCF:87391532,48.818262,2.291403,"[{'insee': '92075', 'name': 'Vanves', 'level': 8, 'coord': {'lat': '48.8212037', 'lon': '2.289259'}, 'label': 'Vanves (92170)', 'id': 'admin:fr:92075', 'zip_code': '92170'}]"
0,"[{'type': 'source', 'value': '87484386'}, {'type': 'uic', 'value': '87484386'}]",Varades - Saint-Florent-le-Vieil,[],"{'lat': '47.374561', 'lon': '-1.01982'}",Varades - Saint-Florent-le-Vieil (Loireauxence),Europe/Paris,stop_area:SNCF:87484386,47.374561,-1.01982,"[{'insee': '44213', 'name': 'Loireauxence', 'level': 8, 'coord': {'lat': '47.3846806', 'lon': '-1.0285051'}, 'label': 'Loireauxence (44370)', 'id': 'admin:fr:44213', 'zip_code': '44370'}]"
1,"[{'type': 'source', 'value': '87141101'}, {'type': 'uic', 'value': '87141101'}]",Varangéville - Saint-Nicolas,[],"{'lat': '48.635215', 'lon': '6.313142'}",Varangéville - Saint-Nicolas (Varangéville),Europe/Paris,stop_area:SNCF:87141101,48.635215,6.313142,"[{'insee': '54549', 'name': 'Varangéville', 'level': 8, 'coord': {'lat': '48.6340871', 'lon': '6.3130958'}, 'label': 'Varangéville (54110)', 'id': 'admin:fr:54549', 'zip_code': '54110'}]"
2,"[{'type': 'source', 'value': '87696351'}, {'type': 'uic', 'value': '87696351'}]",Varennes-sur-Allier,[],"{'lat': '46.3155', 'lon': '3.394239'}",Varennes-sur-Allier (Varennes-sur-Allier),Europe/Paris,stop_area:SNCF:87696351,46.3155,3.394239,"[{'insee': '03298', 'name': 'Varennes-sur-Allier', 'level': 8, 'coord': {'lat': '46.3127469', 'lon': '3.4033756'}, 'label': 'Varennes-sur-Allier (03150)', 'id': 'admin:fr:03298', 'zip_code': '03150'}]"
3,"[{'type': 'source', 'value': '87576231'}, {'type': 'uic', 'value': '87576231'}]",Varennes-sur-Fouzon,[],"{'lat': '47.21446', 'lon': '1.61441'}",Varennes-sur-Fouzon (Val-Fouzon),Europe/Paris,stop_area:SNCF:87576231,47.21446,1.61441,"[{'insee': '36229', 'name': 'Val-Fouzon', 'level': 8, 'coord': {'lat': '47.2121017', 'lon': '1.6057335'}, 'label': 'Val-Fouzon (36210)', 'id': 'admin:fr:36229', 'zip_code': '36210'}]"
4,"[{'type': 'source', 'value': '87594606'}, {'type': 'uic', 'value': '87594606'}]",Varetz,[],"{'lat': '45.191122', 'lon': '1.447454'}",Varetz (Varetz),Europe/Paris,stop_area:SNCF:87594606,45.191122,1.447454,"[{'insee': '19278', 'name': 'Varetz', 'level': 8, 'coord': {'lat': '45.1937382', 'lon': '1.451279'}, 'label': 'Varetz (19240)', 'id': 'admin:fr:19278', 'zip_code': '19240'}]"
